Date,Open,High,Low,Close,Adj Close,Volume
12/6/2017,630,640,610,610,582.575317,26738900
12/7/2017,610,625,600,605,577.800171,23986400
12/8/2017,605,635,605,625,596.901001,45310200
12/11/2017,625,630,600,605,577.800171,16493100
12/12/2017,605,615,600,605,577.800171,11540300
12/13/2017,605,625,605,620,592.125732,9749200
12/14/2017,620,640,620,635,606.451416,16982600
12/15/2017,635,640,625,630,601.676208,10841200
12/18/2017,640,645,630,635,606.451416,9895500
12/19/2017,640,650,635,645,616.001831,16647700
12/20/2017,645,650,625,630,601.676208,9719700
12/21/2017,630,640,625,625,596.901001,9024500
12/22/2017,630,640,625,630,601.676208,7568100
12/25/2017,630,630,630,630,601.676208,0
12/26/2017,630,630,630,630,601.676208,0
12/27/2017,635,640,630,635,606.451416,11145100
12/28/2017,635,640,620,620,592.125732,30355400
12/29/2017,625,630,625,625,596.901001,23985600
1/1/2018,625,625,625,625,596.901001,0
1/2/2018,635,645,625,635,606.451416,36621000
1/3/2018,635,655,630,630,601.676208,43607600
1/4/2018,635,645,635,640,611.226624,15064900
1/5/2018,645,660,645,655,625.552185,49323700
1/8/2018,660,660,640,650,620.776978,31920500
1/9/2018,655,680,650,655,625.552185,51688900
1/10/2018,655,665,645,650,620.776978,20774300
1/11/2018,655,660,645,650,620.776978,14235700
1/12/2018,650,670,645,665,635.1026,66859000
1/15/2018,670,680,660,660,630.327454,52828200
1/16/2018,665,720,665,705,673.30426,236009800
1/17/2018,705,740,690,730,697.180359,242283100
1/18/2018,750,775,730,740,706.730774,276688800
1/19/2018,745,765,735,760,725.831543,91891800
1/22/2018,765,790,765,775,740.157227,142992100
1/23/2018,780,810,775,800,764.033264,153083300
1/24/2018,805,815,780,780,744.932434,93794700
1/25/2018,810,870,810,845,807.010132,352356500
1/26/2018,860,875,855,855,816.560547,136492700
1/29/2018,875,915,865,905,864.312622,289138600
1/30/2018,920,940,885,910,869.087891,315950100
1/31/2018,900,925,890,915,873.863037,144940600
2/1/2018,920,920,900,910,869.087891,89292800
2/2/2018,920,930,905,905,864.312622,99715700
2/5/2018,880,890,860,870,830.88623,81427400
2/6/2018,845,855,790,850,811.785339,226942600
2/7/2018,865,880,845,870,830.88623,135418800
2/8/2018,870,875,850,855,816.560547,33518900
2/9/2018,835,840,825,830,792.684509,56923900
2/12/2018,840,860,835,855,816.560547,44170700
2/13/2018,870,880,860,875,835.661377,58777900
2/14/2018,885,910,880,885,845.211792,73143000
2/15/2018,910,920,900,910,869.087891,122690300
2/16/2018,910,910,910,910,869.087891,0
2/19/2018,910,925,900,920,878.638306,70904500
2/20/2018,910,920,900,900,859.537415,39191400
2/21/2018,895,915,890,910,869.087891,53100700
2/22/2018,905,910,895,900,859.537415,25720600
2/23/2018,910,915,880,895,854.762268,45745800
2/26/2018,895,905,885,900,859.537415,24513000
2/27/2018,905,955,900,945,902.514282,291118200
2/28/2018,945,960,940,955,912.064697,90085600
3/1/2018,955,955,925,940,897.739075,69385900
3/2/2018,925,930,910,920,878.638306,40085400
3/5/2018,920,940,905,910,869.087891,36938600
3/6/2018,920,925,890,905,864.312622,35601300
3/7/2018,905,910,850,885,845.211792,102570500
3/8/2018,885,895,860,875,835.661377,33177200
3/9/2018,870,880,845,850,811.785339,39720000
3/12/2018,880,900,880,900,859.537415,57585600
3/13/2018,900,900,870,880,840.436584,29402200
3/14/2018,880,885,865,880,840.436584,27065400
3/15/2018,865,880,855,860,821.335815,28052000
3/16/2018,860,860,840,845,807.010132,24534400
3/19/2018,845,860,820,820,783.134033,24939800
3/20/2018,810,820,795,805,768.808533,34026000
3/21/2018,805,850,805,835,797.459717,37710400
3/22/2018,835,850,820,820,783.134033,26026400
3/23/2018,795,800,780,790,754.482849,45850200
3/26/2018,800,820,785,785,749.707581,54393300
3/27/2018,800,805,765,775,740.157227,61345200
3/28/2018,765,785,765,770,735.381958,32011800
3/29/2018,770,790,770,775,740.157227,204176400
3/30/2018,775,775,775,775,740.157227,0
4/2/2018,785,805,785,795,759.258057,45249700
4/3/2018,790,815,790,805,768.808533,55993500
4/4/2018,810,815,775,775,740.157227,71182400
4/5/2018,800,810,790,800,764.033264,51596500
4/6/2018,795,810,795,805,768.808533,66940200
4/9/2018,805,850,800,850,811.785339,89643600
4/10/2018,855,865,845,850,811.785339,58705500
4/11/2018,850,870,835,865,826.110962,170456400
4/12/2018,880,890,855,865,826.110962,137906400
4/13/2018,875,880,860,880,840.436584,54329700
4/16/2018,880,880,880,880,840.436584,0
4/17/2018,880,880,880,880,840.436584,0
4/18/2018,870,890,860,885,845.211792,65244700
4/19/2018,885,885,885,885,845.211792,0
4/20/2018,885,885,885,885,847.116577,0
4/23/2018,900,910,885,895,856.688538,57180100
4/24/2018,885,885,850,860,823.186829,124908400
4/25/2018,860,860,860,860,823.186829,0
4/26/2018,860,860,860,860,823.186829,0
4/27/2018,860,860,860,860,823.186829,0
4/30/2018,825,845,815,845,808.828857,40924600
5/1/2018,845,845,845,845,808.828857,0
5/2/2018,845,865,830,865,827.972778,44583500
5/3/2018,860,860,825,840,804.042908,41029900
5/4/2018,840,840,820,830,794.470947,27663100
5/7/2018,830,845,810,810,775.327087,34347200
5/8/2018,815,815,785,790,756.183167,38955100
5/9/2018,800,810,775,805,770.541138,31952100
5/10/2018,805,805,805,805,770.541138,0
5/11/2018,815,820,800,810,775.327087,21166000
5/14/2018,805,825,785,815,780.113098,52437900
5/15/2018,825,830,805,820,784.898987,35206800
5/16/2018,815,825,805,810,775.327087,43438700
5/17/2018,815,830,810,825,789.684998,30909700
5/18/2018,835,865,825,850,813.614807,68215100
5/21/2018,860,890,845,880,842.330627,90967600
5/22/2018,880,885,845,845,808.828857,62235400
5/23/2018,840,860,835,845,808.828857,28834200
5/24/2018,845,885,840,885,847.116577,63594700
5/25/2018,890,900,865,870,832.758789,50343600
5/28/2018,870,870,850,855,818.400818,28157100
5/29/2018,855,855,855,855,818.400818,0
5/30/2018,850,865,840,850,813.614807,33098900
5/31/2018,860,870,850,865,827.972778,43953700
6/1/2018,865,865,865,865,827.972778,0
6/4/2018,895,895,870,880,842.330627,62291200
6/5/2018,880,895,870,885,847.116577,60110800
6/6/2018,895,1015,895,995,952.407959,508895400
6/7/2018,1005,1005,935,945,904.548218,275452400
6/8/2018,945,955,905,905,866.260498,200362500
6/11/2018,905,905,905,905,866.260498,0
6/12/2018,905,905,905,905,866.260498,0
6/13/2018,905,905,905,905,866.260498,0
6/14/2018,905,905,905,905,866.260498,0
6/15/2018,905,905,905,905,866.260498,0
6/18/2018,905,905,905,905,866.260498,0
6/19/2018,905,905,905,905,866.260498,0
6/20/2018,890,895,855,880,842.330627,64935900
6/21/2018,880,905,875,890,851.902527,52368400
6/22/2018,900,910,880,910,871.046509,42965100
6/25/2018,925,925,880,890,851.902527,91154400
6/26/2018,880,895,865,870,832.758789,54919100
6/27/2018,875,880,825,840,804.042908,66853300
6/28/2018,840,850,805,835,799.256897,50855300
6/29/2018,850,890,825,890,851.902527,46732000
7/2/2018,880,880,810,820,784.898987,55488600
7/3/2018,830,835,795,800,765.755127,56216500
7/4/2018,795,815,765,805,770.541138,43947900
7/5/2018,805,805,775,800,765.755127,47671200
7/6/2018,800,810,780,780,746.611206,34218400
7/9/2018,790,810,790,800,765.755127,39966000
7/10/2018,810,825,805,810,775.327087,38359900
7/11/2018,800,865,795,845,808.828857,123699500
7/12/2018,850,865,840,860,823.186829,72284300
7/13/2018,880,945,875,910,871.046509,172649900
7/16/2018,915,935,895,900,861.474548,119203500
7/17/2018,905,905,875,880,842.330627,73995300
7/18/2018,885,910,875,885,847.116577,74310200
7/19/2018,895,900,870,875,837.544678,62368900
7/20/2018,870,880,865,870,832.758789,48279400
7/23/2018,875,895,870,885,847.116577,62488300
7/24/2018,885,905,880,885,847.116577,65016400
7/25/2018,895,900,880,880,842.330627,44411000
7/26/2018,890,925,890,890,851.902527,127167800
7/27/2018,895,905,885,900,861.474548,47461800
7/30/2018,895,960,890,955,914.120117,218292600
7/31/2018,955,960,910,915,875.832458,118883000
8/1/2018,925,945,920,940,899.762268,84475200
8/2/2018,925,940,910,915,875.832458,58688100
8/3/2018,920,925,890,900,861.474548,50570900
8/6/2018,905,940,905,935,894.976318,69575600
8/7/2018,945,955,920,925,885.404358,123380900
8/8/2018,935,940,915,920,880.618408,48764400
8/9/2018,925,930,905,910,871.046509,31836400
8/10/2018,915,915,895,895,856.688538,45945400
8/13/2018,890,890,850,855,818.400818,64752100
8/14/2018,850,865,825,845,808.828857,64021600
8/15/2018,835,865,830,865,827.972778,47421900
8/16/2018,845,845,825,830,794.470947,59004900
8/17/2018,830,830,830,830,794.470947,0
8/20/2018,845,860,835,855,818.400818,56120800
8/21/2018,860,865,835,835,799.256897,54643400
8/22/2018,835,835,835,835,799.256897,0
8/23/2018,845,880,840,870,832.758789,96147600
8/24/2018,870,880,855,875,837.544678,63389000
8/27/2018,890,915,885,895,856.688538,140381500
8/28/2018,905,910,875,880,842.330627,57171900
8/29/2018,890,890,860,875,837.544678,52790500
8/30/2018,895,895,860,865,827.972778,79928200
8/31/2018,855,870,840,870,832.758789,34526100
9/3/2018,855,860,830,830,794.470947,67120100
9/4/2018,830,835,805,805,770.541138,59449300
9/5/2018,800,800,755,775,741.825256,87152200
9/6/2018,770,805,765,800,765.755127,61378500
9/7/2018,810,815,785,795,760.969177,66652400
9/10/2018,805,810,785,795,760.969177,28979600
9/11/2018,795,795,795,795,760.969177,0
9/12/2018,795,805,780,780,746.611206,52060300
9/13/2018,800,815,785,805,770.541138,71033800
9/14/2018,810,810,795,800,765.755127,29160200
9/17/2018,800,805,780,790,756.183167,38810700
9/18/2018,785,795,780,790,756.183167,31323700
9/19/2018,800,805,785,790,756.183167,53035200
9/20/2018,800,810,795,795,760.969177,77237500
9/21/2018,800,820,795,820,784.898987,90191400
9/24/2018,825,830,800,800,765.755127,85676100
9/25/2018,795,810,790,805,770.541138,33820000
9/26/2018,810,815,800,805,770.541138,26522800
9/27/2018,805,845,800,835,799.256897,121821300
9/28/2018,840,855,830,845,808.828857,117168800
10/1/2018,845,845,820,825,789.684998,46380400
10/2/2018,820,825,795,795,760.969177,70836100
10/3/2018,805,815,795,810,775.327087,33628000
10/4/2018,815,820,795,800,765.755127,64982700
10/5/2018,790,805,790,800,765.755127,32173200
10/8/2018,805,830,800,810,775.327087,67517200
10/9/2018,810,820,800,810,775.327087,21828100
10/10/2018,820,820,810,820,784.898987,35832700
10/11/2018,800,800,785,785,751.397217,60716400
10/12/2018,785,805,785,795,760.969177,50812800
10/15/2018,800,800,760,765,732.253357,103162700
10/16/2018,770,775,755,760,727.467407,33977500
10/17/2018,770,790,770,780,746.611206,51076700
10/18/2018,775,780,755,765,732.253357,61519900
10/19/2018,760,780,755,765,732.253357,59274100
10/22/2018,765,775,760,765,732.253357,29023400
10/23/2018,765,770,750,755,722.681458,36483800
10/24/2018,755,760,730,740,708.323486,51771700
10/25/2018,720,730,715,720,689.179565,47540600
10/26/2018,725,730,720,725,693.965637,35077800
10/29/2018,725,730,705,705,674.821716,30060300
10/30/2018,700,705,670,675,646.105896,99346500
10/31/2018,680,685,665,680,650.891846,50382400
11/1/2018,680,705,680,685,655.677795,92372600
11/2/2018,700,705,685,695,665.249817,63297900
11/5/2018,690,695,685,690,660.463745,17071600
11/6/2018,690,700,680,680,650.891846,28148600
11/7/2018,690,705,685,695,665.249817,52473300
11/8/2018,700,720,695,710,679.607666,84546900
11/9/2018,710,715,695,700,670.035828,33748400
11/12/2018,695,700,685,685,655.677795,22863900
11/13/2018,675,695,665,690,660.463745,35992700
11/14/2018,690,695,670,670,641.319946,48399300
11/15/2018,670,680,660,670,641.319946,61467300
11/16/2018,675,695,670,680,650.891846,54547400
11/19/2018,690,690,670,675,646.105896,25582600
11/20/2018,675,675,675,675,646.105896,0
11/21/2018,670,675,640,645,617.390076,72891500
11/22/2018,645,655,625,625,598.246216,65660900
11/23/2018,630,635,620,625,598.246216,46061900
11/26/2018,625,630,600,605,579.102356,60427400
11/27/2018,605,615,595,595,569.530334,48074000
11/28/2018,600,610,595,600,574.316345,38118700
11/29/2018,610,625,605,625,598.246216,51894500
11/30/2018,625,635,615,615,588.674255,44427900
12/3/2018,640,735,640,735,703.537537,319380300
12/4/2018,735,735,705,710,679.607666,114477100
12/5/2018,690,745,690,740,708.323486,181244900
12/6/2018,735,750,725,735,703.537537,87724500
12/7/2018,740,740,720,725,693.965637,43586800
12/10/2018,715,725,710,720,689.179565,39041000
12/11/2018,720,770,710,755,722.681458,138590700
12/12/2018,765,770,745,755,722.681458,49860000
12/13/2018,760,780,755,765,732.253357,82314700
12/14/2018,760,765,750,755,722.681458,35617200
12/17/2018,760,765,730,730,698.751587,44969700
12/18/2018,730,765,715,750,717.895386,82577000
12/19/2018,755,765,740,760,727.467407,47553700
12/20/2018,755,780,755,765,732.253357,85694000
12/21/2018,765,795,760,770,737.039307,135346100
12/24/2018,770,770,770,770,737.039307,0
12/25/2018,770,770,770,770,737.039307,0
12/26/2018,760,790,760,770,737.039307,71071800
12/27/2018,785,785,765,770,737.039307,37337500
12/28/2018,775,775,760,765,732.253357,38070900
12/31/2018,765,765,765,765,732.253357,0
1/1/2019,765,765,765,765,732.253357,0
1/2/2019,770,775,735,740,708.323486,53128900
1/3/2019,750,755,740,750,717.895386,34641100
1/4/2019,750,765,745,760,727.467407,59878500
1/7/2019,775,785,765,770,737.039307,65853100
1/8/2019,775,780,755,760,727.467407,82485900
1/9/2019,770,790,765,780,746.611206,105654500
1/10/2019,780,805,775,790,756.183167,150289500
1/11/2019,795,800,780,790,756.183167,56407400
1/14/2019,795,795,775,780,746.611206,41648200
1/15/2019,780,830,780,820,784.898987,165281200
1/16/2019,830,885,825,870,832.758789,245187100
1/17/2019,870,885,840,845,808.828857,92137700
1/18/2019,850,870,840,850,813.614807,73986800
1/21/2019,855,870,850,855,818.400818,72190100
1/22/2019,855,860,820,830,794.470947,77107300
1/23/2019,830,885,825,860,823.186829,141396200
1/24/2019,865,905,855,895,856.688538,196537400
1/25/2019,895,945,895,930,890.190369,261090200
1/28/2019,945,950,910,910,871.046509,132450700
1/29/2019,910,930,900,920,880.618408,96595800
1/30/2019,935,960,935,950,909.334167,180203800
1/31/2019,965,980,955,965,923.6922,133938100
2/1/2019,975,975,955,960,918.90625,59971800
2/4/2019,970,1040,970,1010,966.765808,303518900
2/5/2019,1010,1010,1010,1010,966.765808,0
2/6/2019,1025,1100,1005,1095,1048.127441,285524200
2/7/2019,1080,1150,1050,1060,1014.62561,369835900
2/8/2019,1050,1080,1025,1025,981.123779,179593300
2/11/2019,1025,1025,975,980,938.050049,222915600
2/12/2019,980,995,935,960,918.90625,182840300
2/13/2019,975,1040,950,1010,966.765808,277124100
2/14/2019,1020,1030,985,1000,957.193909,139034400
2/15/2019,990,995,950,950,909.334167,142476600
2/18/2019,975,1020,970,995,952.407959,173591600
2/19/2019,1000,1055,995,1025,981.123779,255674400
2/20/2019,1040,1090,1040,1060,1014.62561,261788400
2/21/2019,1080,1085,1030,1035,990.69574,158909700
2/22/2019,1035,1060,1010,1055,1009.839539,129281800
2/25/2019,1065,1090,1060,1085,1038.55542,177237000
2/26/2019,1075,1075,1035,1045,1000.267578,148389300
2/27/2019,1055,1060,1030,1030,985.90979,61838900
2/28/2019,1040,1045,980,1015,971.551819,192898000
3/1/2019,1000,1055,1000,1055,1009.839539,117661600
3/4/2019,1060,1075,1045,1050,1005.05365,100864600
3/5/2019,1040,1065,1015,1035,990.69574,126418900
3/6/2019,1050,1065,1040,1045,1000.267578,87855200
3/7/2019,1045,1045,1045,1045,1000.267578,0
3/8/2019,1010,1015,990,990,947.621948,137044900
3/11/2019,1010,1025,990,1000,957.193909,113206700
3/12/2019,1010,1015,955,970,928.478149,112741300
3/13/2019,975,990,960,975,933.264099,70906700
3/14/2019,975,975,960,970,928.478149,52086700
3/15/2019,965,990,950,980,938.050049,52543600
3/18/2019,980,985,950,955,914.120117,66583200
3/19/2019,960,975,955,960,918.90625,54664800
3/20/2019,960,980,960,960,918.90625,46591800
3/21/2019,970,980,960,960,918.90625,36264300
3/22/2019,960,965,950,960,918.90625,30085500
3/25/2019,940,945,910,920,880.618408,91297400
3/26/2019,925,940,910,920,880.618408,46660500
3/27/2019,925,925,895,900,861.474548,43588200
3/28/2019,895,915,880,885,847.116577,67961100
3/29/2019,880,895,870,890,851.902527,57042100
4/1/2019,900,945,900,940,899.762268,116863400
4/2/2019,940,950,920,925,885.404358,92989900
4/3/2019,925,925,925,925,885.404358,0
